course,prof,gpa
329,"Gilbert, Matthew",3.1004477611940295
329,"Kim, Kyekyoon",2.8450024255024253
329,"Heil, Philip E",2.7025531914893612
329,"Peck, Timothy L",2.166764705882353
329,"Oelze, Michael L",2.9673333333333334
329,"Franke, Patricia M",2.7071212121212125
329,"Roach, Tyrone L",2.9085
330,"Zhang, Richard Y",3.0861080945198593
330,"Schuh, Jonathon K",2.7540668924840612
330,"Bose, Subhonmesh",2.772132759745372
330,"Banerjee, Arijit",3.055608958837773
330,"Sauer, Peter W",2.6041914965700776
330,"Sowidan, Hassan",2.500970068238213
330,"Zhu, Hao",2.7219123861607937
330,"Haran, Kiruba S",2.565304847576212
330,"Fliflet, Arne W",2.5352631578947364
330,"Dominguez-Garci, Alejandr",2.513552631578947
330,"Guo, Siming",2.537375
330,"Phillips, Desiree",2.6923076923076925
330,"Davis, Katherine M",2.66234375
330,"Radhakrishnan, Chandrasek",2.793353808353808
330,"Dutta, Sudipta",2.954520547945206
333,"Stillwell, Andrew R",3.266315928270042
333,"Gross, George",3.288358064460666
333,"O'Connell, Timothy C",3.0628795807496787
333,"Reinhard, Karl E",3.293614526411657
333,"Overbye, Thomas J",3.140662355987485
333,"Chen, Yu",3.171282051282051
333,"Davis, Katherine M",3.0893333333333337
333,"Dominguez-Garci, Alejandr",3.2645222174288175
333,"Dhople, Sairaj V",3.118983050847458
333,"Rogers, Katherine M",3.171973514211887
340,"Vlasov, Yurii A",2.858846153846154
340,"Dallesasse, John M",2.692497566678101
340,"Kim, Kyekyoon",2.5225186008628264
340,"He, Wei",2.3042857142857143
340,"Bogdanov, Simeon",2.7176190476190474
340,"Zhu, Wenjuan",2.671156655680942
340,"Ravaioli, Umberto",2.5773333333333333
340,"Gilbert, Matthew",2.5840024139495275
340,"Leburton, Jean-Pierre",2.5807888353806456
340,"Lee, Minjoo L",2.944224358974359
340,"Bayram, Can",2.553780678424786
340,"Feng, Milton",2.6988910494627376
340,"Liu, Gang L",2.555384615384616
340,"Wasserman, Daniel M",2.796305315527625
340,"Roppo, Mike",2.3969047619047616
340,"Pop, Eric",2.860822124304267
340,"Carney, Paul S",2.7671577380952384
342,"Gruev, Viktor",3.022881355932203
342,"Hanumolu, Pavan Kumar",3.2957771809056213
342,"Radhakrishnan, Chandrasek",3.1350811589192062
342,"Kani, Nickvash",3.5665079365079366
342,"Zhou, Jin",3.2247031367128933
342,"Chen, Xu",2.820675544794189
342,"Schutt-Aine, Jose E",3.1851819574812037
342,"Shanbhag, Naresh R",2.9026018745206774
342,"Rosenbaum, Elyse",2.9330154816729688
342,"Trick, Timothy N",2.6375942028985513
342,"Hajj, Ibrahim N",2.715987072448155
343,"Radhakrishnan, Chandrasek",3.7200768068719583
350,"Kudeki, Erhan",3.192046776611353
350,"Gong, Songbin",3.3640909090909092
350,"Chew, Weng C",3.2993103448275862
350,"Dragic, Peter D",3.1140425531914895
350,"Schutt-Aine, Jose E",3.4418055555555553
350,"Cangellaris, Andreas C",2.8571428571428577
361,"Alvarez, Juan",2.928809523809524
361,"Varshney, Lav R",3.2924922360248448
361,"Veeravalli, Venugopal V",3.183793103448276
365,"Veeravalli, Venugopal V",3.472435347726662
380,"Song, Pengfei",3.4757142857142855
380,"Gao, Liang",3.641220238095238
380,"Boppart, Stephen A",3.0876231412206683
385,"Cheng, Zuofu",3.1528762901096727
385,"Chen, Deming",3.205814221215851
385,"Meng, Huan-Ting",3.158036360897304
385,"Kindratenko, Volodymyr",3.1234636871508386
385,"Kumar, Rakesh",3.18635213225075
385,"Chan, Sao-Jie",3.4131547122602175
391,"Kalbarczyk, Zbigniew T",3.0261443297343544
391,"Lumetta, Steven S",3.2226237842715357
391,"Bailey, Michael D",2.8794570135746613
391,"Borisov, Nikita",2.777343700494088
391,"Stratton, John A",2.550406746031746
395,"Haken, Lippold",3.687721318504103
398,"Do, Minh N",3.4314610389610394
398,"Miller, Andrew E",3.8712244897959183
398,"Bresler, Yoram",3.6019565217391305
398,"Veeravalli, Venugopal V",3.1950000000000003
398,"Carney, Paul S",3.6379777777777775
398,"Viswanath, Pramod",3.76
398,"Hajek, Bruce",3.5130769230769228
398,"Milenkovic, Olgica",3.462307692307692
398,"Choquette, Kent D",3.3322580645161293
401,"Hasegawa-Johnso, Mark A",3.7938095238095237
402,"Haken, Lippold",3.525515723272313
403,"Smaragdis, Paris",3.736551724137931
408,"Kindratenko, Volodymyr",3.1045773096640326
408,"Patel, Sanjay J",3.0988590131231977
408,"Lumetta, Steven S",3.302323021181717
408,"Hwu, Wen-Mei W",3.416743162002622
410,"Singer, Andrew C",2.6107051282051286
410,"Shanbhag, Naresh R",2.3340625000000004
410,"Hasegawa-Johnso, Mark A",2.716296296296296
410,"Bresler, Yoram",2.971702127659574
410,"Ahuja, Narendra",2.5787755102040815
410,"Herman, Geoffrey L",3.127619047619047
411,"Kim, Nam Sung",3.242319554455446
411,"Huang, Jian",3.1223016820401517
411,"Kumar, Rakesh",2.7825094286693006
411,"Chen, Deming",3.013807561032049
411,"Hwu, Wen-Mei W",3.1908270202020206
411,"Polychronopoulo, Constant",3.108604651162791
416,"Cunningham, Brian T",3.3307992166079123
417,"Hasegawa-Johnso, Mark A",3.5856492346938773
417,"Huang, Thomas S",3.6673913043478263
418,"Moulin, Pierre",3.5263210445468514
418,"Huang, Shuai",3.411489361702128
418,"Do, Minh N",3.546417050691244
418,"Kamalabadi, Farzad",3.3588461538461543
420,"Moon, Thomas",3.637346031746032
420,"Brokish, Jeffrey M",3.5409901247401248
420,"Levinson, Stephen E",3.438721866751135
420,"Allen, Jont",3.553129035482259
420,"Do, Minh N",3.841364960669918
420,"Hasegawa-Johnso, Mark A",3.614423076923077
425,"Aggarwal, Anu",3.1469047619047616
425,"Kindratenko, Volodymyr",3.3141176470588234
425,"Chen, Deming",2.8968965517241374
425,"Wong, Martin D",3.2004814296814295
430,"Bazzi, Ali M",2.6937837837837835
430,"Amrhein, Marco",2.95
430,"Sauer, Peter W",2.665771240323479
430,"Davoudi, Ali",2.4897872340425526
431,"Haran, Kiruba S",3.1636161039626365
431,"Krein, Philip T",3.101177777777778
431,"Sauer, Peter W",3.0484210526315785
431,"Bazzi, Ali M",3.0925925925925917
434,"Roy Choudhury, Romit",3.5689500349406007
435,"Caesar, Matthew C",3.730769230769231
437,"Gruev, Viktor",3.863028011204482
437,"Makela, Jonathan J",3.6807007575757575
437,"Bernhard, Jennifer T",3.485
438,"Roy Choudhury, Romit",3.4643137254901957
439,"Al-Hassanieh, Haitham",3.5841666666666665
439,"Roy Choudhury, Romit",3.5158064516129035
439,"Kravets, Robin H",3.4425251778872465
440,"Liu, Gang L",2.6289698827292107
440,"Mohamed, Mohamed Y",3.0035193140193144
440,"Pop, Eric",2.7860586734693875
440,"Gilbert, Matthew",2.3859915338029913
440,"Carney, Paul S",2.799090909090909
440,"Hsieh, Kuang-Chien",2.8062967914438506
441,"Rakheja, Shaloo",3.42952380952381
441,"Zhu, Wenjuan",3.2324399164054336
441,"Leburton, Jean-Pierre",3.2561638667845565
442,"Rosenbaum, Elyse",2.975125
442,"Schutt-Aine, Jose E",3.205511155511156
443,"Zhang, Jianhua",3.492173913043478
444,"Froeter, Paul J",3.6919230769230773
444,"Lee, Minjoo L",3.0279166666666666
